window	compactions	rms_ref	rms_prompt	rms_mean_prompt	rms_innov	rms_step	rms_local	seg_noise
25	399	20.0460	2.1228	1.6182	1.3765	1.9522	1.5673	1.1167
50	199	20.0254	2.8940	2.1897	1.8978	2.6787	2.0492	1.5623
100	99	19.9343	3.8549	2.8629	2.5832	3.6420	2.7114	2.1984
200	49	19.8404	4.9436	3.5622	3.4407	4.8576	3.5711	3.0249
300	33	19.8134	5.1944	3.6480	3.7152	5.2349	3.8452	3.4305
500	19	19.6942	6.2781	4.2675	4.6232	6.5080	4.7692	4.4071
750	13	19.5336	7.1215	4.6856	5.3697	7.5839	5.5313	5.2097
1000	9	19.6465	8.0905	5.1845	6.2087	8.7507	6.3904	6.1175
1500	6	19.4184	8.6276	5.5199	6.6032	9.3061	6.7896	6.9399
2000	4	19.3895	9.6085	6.1229	7.3989	10.4440	7.6032	7.8757
3000	3	18.2740	10.1616	6.6359	7.6812	10.8505	7.8926	8.5865
5000	1	17.7281	11.7225	7.8049	8.7244	12.3321	8.9597	9.9541
10000	0	16.4860	13.0673	8.8063	9.6263	13.6048	9.8830	11.2538
